city,district,front,rooms,living_rooms,bath_rooms,street_width,level,age,kitchen,garage,elevator,area,dimension_1,dimension_2,price
جدة,حي الربوة,شرقية,6,1,4,20,3,0,1,1,1,220,14,14,750000
الدمام,حي النور,غربية,3,2,3,20,2,0,1,1,1,170,13,13,560000
جدة,حي المنار,شمالية,5,1,3,15,4,8,1,0,1,118,10,10,550000
جدة,حي مريخ,شمالية,5,1,4,30,5,0,1,1,1,210,14,14,670000
جازان,حي الشاطئ,شمالية,5,1,3,20,2,0,1,0,1,215,14,14,620000
جدة,حي مريخ,شرقية,6,2,4,15,2,0,1,1,1,235,15,15,750000
جدة,حي مريخ,غربية,5,1,5,5,2,0,1,1,1,220,14,14,700000
جدة,حي مريخ,شمالية,5,1,3,25,2,0,1,1,1,160,12,12,540000
الرياض,حي طويق,غربية,3,1,3,25,2,0,1,0,1,186,13,13,560000
جدة,حي الواحة,غربية,5,1,3,20,3,0,1,1,1,163,12,12,670000
الدمام,حي النور,شرقية,5,1,3,15,2,0,0,0,1,200,14,14,560000
الدمام,حي الشعلة,شرقية,5,1,3,20,1,0,1,1,1,215,14,14,680000
خميس مشيط,حي المعمورة,غربية,5,1,5,20,1,0,1,0,0,300,17,17,520000
جدة,حي الواحة,غربية,4,1,4,20,2,0,1,1,1,147,12,12,500000
جدة,حي الصفا,جنوبية,5,1,3,16,2,0,1,1,1,170,13,13,545000
جدة,حي الريان,شرقية,5,1,3,20,2,0,1,1,1,180,13,13,700000
جدة,حي مريخ,شمالية,6,1,4,25,1,0,1,1,1,221,14,14,740000
الرياض,حي طويق,غربية,2,1,2,30,3,0,1,0,1,142,11,11,560000
الطائف,حي الوسام,جنوبية غربية,5,1,3,15,1,0,0,0,1,180,13,13,580000
الدمام,حي الجوهرة,جنوبية,4,1,4,20,1,11,1,1,0,188,13,13,500000
جدة,حي الواحة,شمالية,4,1,3,22,3,0,1,1,1,145,12,12,620000
جدة,حي الريان,غربية,5,1,4,15,2,0,1,1,1,218,14,14,740000
جدة,حي الواحة,جنوبية,4,1,3,20,5,2,1,0,0,125,11,11,470000
جدة,حي المروة,شمالية,5,1,3,15,2,0,1,1,1,160,12,12,570000
الرياض,حي طويق,غربية,5,1,5,30,1,0,1,0,1,273,16,16,745000
جدة,حي الواحة,شرقية,5,1,4,15,4,0,1,1,1,165,12,12,690000
الدمام,حي النور,شرقية,5,1,3,52,2,0,1,1,1,150,12,12,470000
جدة,حي النسيم,غربية,5,1,3,21,2,0,1,1,1,175,13,13,770000
الدمام,حي الشعلة,غربية,3,1,4,16,4,0,0,1,1,175,13,13,620000
جدة,حي المنار,شمالية,4,1,3,32,3,0,1,1,1,134,11,11,485000
جدة,حي الواحة,شمالية,4,1,3,20,2,0,1,0,1,140,11,11,600000
المدينة المنورة,حي الرانوناء,جنوبية شرقية,7,2,5,5,1,2,1,0,0,315,17,17,770000
محايل,حي الحيلة الغربي,شرقية,4,1,3,30,1,0,0,0,0,165,12,12,400000
مكة المكرمة,حي الهجرة,شمالية,3,1,3,10,2,10,1,1,1,120,10,10,430000
الدمام,حي الضباب,شرقية,6,1,4,40,2,0,1,1,1,232,15,15,750000
الدمام,حي النور,شمالية,6,1,4,20,2,0,0,0,1,250,15,15,560000
الدمام,حي النور,شرقية,5,1,3,19,2,0,1,1,1,200,14,14,560000
جدة,حي الريان,شرقية,5,1,4,20,5,0,1,1,1,230,15,15,750000
جدة,حي الواحة,شمالية,4,1,3,21,3,0,1,1,1,121,11,11,410000
الدمام,حي الفردوس,شرقية,5,1,4,57,3,0,1,1,1,200,14,14,580000
جدة,حي الواحة,شمالية,4,1,3,40,3,0,1,1,1,134,11,11,460000
الرياض,حي الرمال,شمالية,4,1,3,40,3,0,1,0,1,150,12,12,640000
الظهران,حي هجر,غربية,5,1,4,19,1,0,1,1,1,176,13,13,600000
الرياض,حي ظهرة لبن,شمالية,4,1,2,30,2,10,1,0,0,131,11,11,400000
جدة,حي النعيم,شمالية,5,1,3,11,2,0,1,1,1,171,13,13,650000
الدمام,حي النور,جنوبية,3,1,3,24,3,0,0,0,1,183,13,13,545000
جدة,حي مريخ,شمالية,4,1,3,19,5,0,1,1,1,260,16,16,640000
الرياض,حي طويق,جنوبية,1,1,5,30,1,0,1,0,0,155,12,12,550000
جدة,حي المنتزه,جنوبية غربية,4,1,3,25,2,0,0,1,1,140,11,11,550000
الدمام,حي الشعلة,غربية,6,1,3,19,2,0,1,0,1,220,14,14,700000
جدة,حي الصفا,شرقية,5,1,3,18,2,0,1,1,1,170,13,13,700000
جدة,حي مريخ,جنوبية غربية,5,1,3,25,2,0,1,1,1,180,13,13,600000
جدة,حي الصفا,شمالية,6,1,4,18,2,0,1,1,1,189,13,13,730000
جازان,حي الشاطئ,شمالية,5,1,3,18,2,0,1,0,1,200,14,14,550000
جدة,حي الواحة,جنوبية شرقية,5,1,4,20,4,0,1,1,1,144,12,12,535000
الدمام,حي النور,شرقية,5,1,3,29,2,0,1,1,1,225,15,15,560000
جدة,حي الواحة,غربية,4,1,3,19,2,0,1,1,1,140,11,11,580000
الدمام,حي الفيحاء,شمالية,7,1,4,23,2,0,1,0,1,240,15,15,560000
الرياض,حي ظهرة لبن,شرقية,3,1,2,30,1,6,1,0,1,109,10,10,400000
جدة,حي الواحة,شمالية شرقية,4,1,3,20,5,3,1,0,0,150,12,12,480000
مكة المكرمة,حي الشوقية,شرقية,5,1,3,12,4,14,1,0,1,251,15,15,750000
جدة,حي طيبة,جنوبية شرقية,5,1,3,25,2,0,1,1,1,164,12,12,465000
جدة,حي المنار,شمالية شرقية,5,1,4,25,4,0,1,1,1,160,12,12,570000
جدة,حي الواحة,شمالية,5,1,3,18,3,0,1,1,0,159,12,12,670000
جدة,حي الواحة,شمالية,4,1,3,20,3,0,1,1,1,133,11,11,445000
جدة,حي مريخ,شمالية,5,1,5,22,2,0,0,0,0,280,16,16,780000
الدمام,حي الفردوس,شرقية,4,1,4,25,1,0,1,0,1,270,16,16,700000
الرياض,حي ظهرة نمار,غربية,3,1,3,30,3,0,1,0,1,197,14,14,680000
الدمام,حي النور,شرقية,3,1,3,5,2,0,1,1,1,150,12,12,470000
الرياض,حي ظهرة لبن,جنوبية,2,2,3,5,3,0,1,0,1,132,11,11,580000
جدة,حي طيبة,شمالية,4,2,4,32,4,0,0,1,1,220,14,14,750000
الرياض,حي الحزم,شمالية غربية,4,1,4,30,1,0,1,0,0,202,14,14,670000
جدة,حي الواحة,جنوبية,5,1,4,5,3,0,1,1,1,174,13,13,740000
جدة,حي الواحة,شمالية,4,1,3,25,1,0,1,1,1,140,11,11,470000
الرياض,حي طويق,غربية,3,1,3,20,3,0,1,1,1,165,12,12,615000
مكة المكرمة,حي الحمراء و ام الجود,شرقية,5,1,3,23,3,0,1,0,1,120,10,10,700000
الدمام,حي الشعلة,شمالية شرقية,4,1,3,26,2,0,1,0,1,190,13,13,620000
الدمام,حي النور,شمالية شرقية,5,1,4,20,1,0,1,1,1,175,13,13,560000
جدة,حي الواحة,شرقية,4,1,3,40,2,0,1,1,1,135,11,11,420000
جدة,حي الواحة,شمالية شرقية,4,1,3,25,3,0,1,1,1,186,13,13,590000
الرياض,حي طويق,غربية,7,3,5,30,1,0,1,0,1,250,15,15,675000
جدة,حي المنار,شمالية شرقية,4,1,3,20,3,0,1,1,1,122,11,11,475000
الظهران,حي هجر,غربية,5,1,4,21,2,0,1,0,1,180,13,13,600000
بيشة,حي النسيم,شمالية,5,1,4,11,2,2,1,0,1,213,14,14,450000
الدمام,حي الشعلة,شرقية,6,1,4,25,2,0,1,1,1,230,15,15,710000
الدمام,حي النور,جنوبية شرقية,5,1,3,33,3,0,1,0,1,185,13,13,480000
الدمام,حي النور,شمالية,5,1,3,5,3,6,1,1,1,275,16,16,500000
جدة,حي الفيحاء,جنوبية شرقية,5,1,3,31,2,0,1,1,1,170,13,13,619000
جدة,حي الواحة,شمالية,5,1,4,13,3,0,0,1,1,160,12,12,680000
جدة,حي مريخ,جنوبية غربية,5,1,3,25,3,0,1,1,1,155,12,12,570000
الرياض,حي طويق,غربية,5,1,5,30,1,0,1,0,1,250,15,15,760000
الرياض,حي عكاظ,شرقية,3,1,3,30,1,0,1,0,0,130,11,11,450000
جدة,حي مريخ,شمالية غربية,5,1,4,15,2,0,1,1,1,170,13,13,670000
جدة,حي المروة,شمالية,5,1,4,16,1,0,1,0,0,180,13,13,745000
جدة,حي الواحة,غربية,4,1,3,25,2,1,1,1,1,140,11,11,460000
جدة,حي الصفا,جنوبية,5,1,4,25,4,0,1,1,1,166,12,12,680000
الخبر,حي الحمرا,جنوبية,3,1,3,5,4,5,1,1,1,146,12,12,550000
جدة,حي الواحة,شمالية,4,1,3,20,2,0,1,1,1,151,12,12,480000
جدة,حي الربوة,جنوبية,5,1,4,20,2,0,1,1,1,169,13,13,680000
جدة,حي مريخ,شرقية,4,1,2,0,3,0,0,1,1,120,10,10,420000
الخبر,حي الحمرا,شمالية,3,2,4,21,2,0,1,1,1,170,13,13,620000
الرياض,حي المونسية,جنوبية,3,1,3,36,1,0,0,1,1,160,12,12,795000
الرياض,حي بدر,شرقية,5,1,2,31,3,0,1,0,1,700,26,26,650000
جدة,حي الفيصلية,شمالية,5,1,3,25,3,0,1,1,1,171,13,13,570000
بريدة,حي سلطانة,شمالية,5,1,5,30,2,0,1,1,0,600,24,24,550000
جدة,حي ابحر الشمالية,شمالية,6,1,4,25,2,0,1,1,1,165,12,12,710000
الدمام,حي النور,شمالية شرقية,5,1,4,20,1,0,1,1,1,175,13,13,560000
الرياض,حي طويق,شرقية,3,1,3,40,3,0,1,0,1,146,12,12,560000
جدة,حي الفيحاء,شمالية غربية,5,1,4,9,3,1,1,1,1,167,12,12,740000
جدة,حي ام السلم,شمالية شرقية,5,1,4,15,3,0,1,1,1,180,13,13,650000
جدة,حي الريان,جنوبية,4,1,3,20,3,0,1,1,1,140,11,11,430000
جدة,حي مريخ,شمالية,6,1,4,15,3,0,0,0,1,196,14,14,700000
الرياض,حي القيروان,جنوبية,3,1,3,30,1,0,1,0,0,127,11,11,749000
الدمام,حي النور,شرقية,7,1,3,30,2,0,1,1,1,185,13,13,540000
جدة,حي الحمدانية,شمالية,5,1,3,52,2,0,1,1,1,160,12,12,459000
جدة,حي المنار,شمالية,4,1,3,28,3,0,0,0,0,130,11,11,450000
جدة,حي الرياض,شرقية,5,2,3,34,5,0,1,0,0,270,16,16,730000
جدة,حي المنار,شمالية,4,1,3,20,3,0,1,1,1,133,11,11,475000
الدمام,حي النور,جنوبية شرقية,4,2,3,34,1,0,1,1,1,202,14,14,550000
الدمام,حي الفردوس,شمالية شرقية,5,1,3,25,2,0,1,1,1,150,12,12,420000
جدة,حي مريخ,جنوبية غربية,5,1,3,20,3,0,1,1,1,155,12,12,500000
جدة,حي الواحة,غربية,4,1,3,11,2,3,1,0,1,119,10,10,500000
الدمام,حي النور,جنوبية غربية,6,1,4,20,3,0,1,1,1,250,15,15,670000
جدة,حي المنار,جنوبية شرقية,3,1,2,11,4,6,1,1,1,200,14,14,400000
جدة,حي الصوارى,شرقية,5,1,4,32,4,0,1,1,1,166,12,12,750000
الدمام,حي النور,شرقية,5,1,3,45,2,0,1,1,1,160,12,12,470000
جدة,حي ام السلم,غربية,6,1,5,19,2,0,1,1,1,200,14,14,700000
جدة,حي الواحة,شرقية,4,1,3,12,4,0,0,0,1,150,12,12,600000
الدمام,حي الشعلة,جنوبية,5,1,3,20,2,0,1,1,1,195,13,13,660000
الرياض,حي ظهرة لبن,شمالية,3,1,3,20,2,2,1,0,1,191,13,13,680000
جدة,حي مريخ,غربية,5,2,4,17,1,0,1,0,1,230,15,15,730000
جدة,حي الاميرعبدالمجيد,شمالية,5,1,3,15,2,1,1,1,1,177,13,13,720000
جدة,حي الحمدانية,شمالية,6,1,5,25,2,0,1,1,1,225,15,15,790000
جدة,حي مريخ,شرقية,5,1,3,25,3,0,0,1,1,141,11,11,520000
جدة,حي الواحة,شمالية,5,1,3,20,2,0,1,1,1,172,13,13,720000
الدمام,حي النور,جنوبية,4,1,3,30,3,0,1,0,1,151,12,12,470000
جدة,حي الريان,شمالية غربية,6,1,4,5,2,0,1,1,1,207,14,14,770000
جدة,حي مريخ,شمالية,5,2,4,20,2,0,1,1,1,216,14,14,591000
جدة,حي بريمان,شمالية,1,1,3,10,3,0,1,1,1,20,4,4,490000
جدة,حي الواحة,جنوبية غربية,4,1,3,20,3,0,1,1,1,148,12,12,480000
الرياض,حي طويق,شمالية غربية,2,2,3,31,1,0,1,1,1,113,10,10,640000
الرياض,حي ظهرة لبن,جنوبية,3,1,3,5,2,1,1,0,0,127,11,11,450000
الدمام,حي الفرسان,غربية,4,1,4,21,1,0,1,1,0,400,20,20,730000
الدمام,حي الشعلة,شمالية,2,1,3,20,3,0,1,0,1,200,14,14,700000
الدمام,حي الفيحاء,شرقية,5,1,3,5,2,0,1,0,1,220,14,14,560000
الرياض,حي ظهرة نمار,غربية,5,1,3,30,1,0,1,0,1,182,13,13,640000
الدمام,حي الشعلة,جنوبية,5,1,3,15,2,0,0,0,0,180,13,13,600000
الدمام,حي الشعلة,شرقية,5,1,3,25,1,0,1,1,1,195,13,13,640000
جدة,حي مريخ,شمالية شرقية,5,1,4,25,2,0,1,1,1,250,15,15,700000
مكة المكرمة,حي العسيلة,شرقية,6,2,3,25,2,0,1,1,1,238,15,15,690000
بريدة,حي الريان,جنوبية,5,2,4,18,1,1,1,1,0,650,25,25,600000
الدمام,حي النور,غربية,5,1,3,25,2,0,1,1,1,190,13,13,540000
الدمام,حي الجوهرة,شمالية شرقية,5,1,3,5,2,3,1,0,1,220,14,14,710000
جدة,حي السلامة,شمالية,4,1,3,5,2,0,1,1,1,138,11,11,750000
الدمام,حي الفردوس,شمالية,3,2,3,14,3,2,1,1,1,240,15,15,410000
الدمام,حي النور,شرقية,5,2,3,16,3,0,1,0,1,180,13,13,520000
جدة,حي مريخ,شمالية,4,1,3,25,2,4,0,1,1,125,11,11,400000
جدة,حي مريخ,شمالية غربية,4,1,3,25,3,0,0,1,1,120,10,10,460000
جدة,حي الصفا,شمالية,4,1,2,12,3,1,1,1,1,110,10,10,550000
الطائف,حي القطبية,شرقية,6,1,4,15,2,0,1,1,1,241,15,15,750000
جدة,حي الصفا,جنوبية شرقية,4,1,3,18,3,0,1,1,1,131,11,11,560000
جدة,حي المروة,غربية,6,1,4,16,4,12,1,1,1,220,14,14,750000
جدة,حي مريخ,شمالية,5,1,4,25,1,0,1,1,1,220,14,14,670000
جدة,حي مريخ,غربية,4,1,3,16,4,0,1,1,1,115,10,10,450000
جدة,حي الصفا,شمالية,5,1,4,20,2,0,1,1,1,180,13,13,700000
جدة,حي الفيحاء,غربية,5,1,4,26,2,0,0,0,0,162,12,12,700000
بريدة,حي سلطانة,غربية,4,2,4,40,1,0,1,1,0,200,14,14,560000
جدة,حي الواحة,غربية,4,1,3,20,4,0,1,1,1,136,11,11,399000
جدة,حي الواحة,جنوبية غربية,5,1,3,20,4,0,0,0,1,161,12,12,670000
جدة,حي الواحة,شمالية شرقية,5,1,3,20,5,0,1,1,1,260,16,16,780000
جدة,حي الواحة,شمالية,5,1,3,20,4,0,1,1,1,160,12,12,680000
جدة,حي مريخ,شمالية شرقية,7,1,5,20,2,0,1,1,1,225,15,15,760000
الدمام,حي الفردوس,شرقية,5,1,3,25,2,0,1,1,1,190,13,13,580000
الدمام,حي بدر,غربية,1,2,4,30,2,0,1,1,0,250,15,15,790000
الرياض,حي ظهرة نمار,شمالية,3,1,3,30,1,0,1,0,1,179,13,13,580000
جدة,حي الفيحاء,شمالية,5,1,4,20,2,0,1,1,1,175,13,13,700000
جدة,حي الربوة,جنوبية غربية,4,1,3,27,3,0,1,1,1,130,11,11,570000
الرياض,حي بدر,شمالية شرقية,5,1,4,31,1,0,0,0,1,158,12,12,520000
الرياض,حي الحزم,غربية,5,1,5,30,1,0,1,0,1,270,16,16,750000
جدة,حي الريان,جنوبية,5,1,3,15,2,0,1,1,1,180,13,13,710000
الدمام,حي النور,شرقية,5,1,3,30,2,0,1,1,1,170,13,13,470000
الرياض,حي طويق,شمالية,4,2,3,30,1,0,1,1,1,165,12,12,600000
جدة,حي المروة,غربية,5,1,4,29,3,0,1,1,1,175,13,13,790000
جدة,حي مريخ,شمالية,5,1,4,15,1,0,1,1,1,220,14,14,650000
الظهران,حي هجر,جنوبية,5,1,3,30,2,0,1,0,1,180,13,13,590000
جدة,حي الواحة,شمالية,4,1,3,20,2,4,0,1,1,142,11,11,470000
جدة,حي الواحة,شرقية,3,1,2,20,4,0,1,0,1,96,9,9,500000
الرياض,حي ظهرة لبن,شمالية,3,1,3,30,2,8,1,0,1,150,12,12,400000
جدة,حي مريخ,شمالية,5,1,2,18,2,0,1,1,1,150,12,12,520000
الرياض,حي ظهرة لبن,شمالية شرقية,3,1,2,30,1,5,1,0,1,88,9,9,390000
جدة,حي الواحة,غربية,4,1,3,19,4,0,1,1,1,135,11,11,435000
جدة,حي الواحة,جنوبية,4,1,3,20,2,0,1,1,1,135,11,11,575000
جدة,حي الواحة,شرقية,4,1,3,40,2,0,1,1,1,152,12,12,450000
جدة,حي المنار,شرقية,4,1,3,20,3,0,1,1,1,125,11,11,469000
جدة,حي مريخ,شمالية غربية,4,1,4,22,2,0,1,1,1,260,16,16,650000
جدة,حي الواحة,جنوبية,5,1,3,22,2,0,1,1,1,166,12,12,690000
الدمام,حي النور,جنوبية,5,1,3,10,1,0,1,1,0,183,13,13,585000
الظهران,حي هجر,جنوبية,5,1,4,18,1,0,1,0,1,180,13,13,550000
الظهران,حي هجر,جنوبية شرقية,5,1,3,25,2,0,1,1,1,190,13,13,610000
جدة,حي مريخ,شمالية شرقية,5,1,3,25,4,3,1,1,1,150,12,12,500000
جدة,حي بريمان,شمالية,4,1,3,20,1,0,1,1,1,130,11,11,395000
جدة,حي الصفا,جنوبية شرقية,5,1,4,25,3,0,1,1,1,167,12,12,680000
جدة,حي مريخ,جنوبية شرقية,4,1,3,23,3,0,1,1,1,133,11,11,390000
الدمام,حي الضباب,شمالية,5,1,4,20,3,0,1,0,1,230,15,15,790000
الدمام,حي المنتزه,شمالية,3,1,4,15,2,0,0,1,1,168,12,12,755000
جدة,حي الواحة,شرقية,4,1,3,20,2,0,1,1,1,127,11,11,550000
خميس مشيط,حي مخطط الموسى,شرقية,5,1,2,17,2,7,1,0,0,300,17,17,480000
الدمام,حي الفردوس,شمالية شرقية,5,1,3,26,2,0,1,1,1,150,12,12,440000
مكة المكرمة,حي الملك فهد,شرقية,4,1,4,20,4,0,1,1,1,164,12,12,570000
الرياض,حي الشفا,شرقية,5,1,4,30,1,0,1,0,1,230,15,15,730000
صفوى,حي ابو معن,غربية,3,1,3,20,1,0,1,0,1,200,14,14,550000
جدة,حي مريخ,شمالية,5,1,4,16,5,0,1,1,1,250,15,15,680000
مكة المكرمة,حي بطحاء قريش,شمالية,5,1,3,31,2,0,1,0,1,225,15,15,770000
جدة,حي الواحة,جنوبية,4,1,3,20,2,0,0,1,1,158,12,12,610000
جدة,حي الصوارى,شرقية,4,1,4,15,4,0,0,0,0,140,11,11,660000
محايل,حي الحيلة الشرقي,شرقية,4,1,3,30,2,4,1,0,0,176,13,13,380000
جدة,حي مريخ,جنوبية غربية,4,2,3,18,3,0,1,1,1,155,12,12,450000
خميس مشيط,حي المعمورة,شرقية,5,1,4,15,1,0,1,0,0,300,17,17,580000
جدة,حي الريان,جنوبية,5,1,3,15,3,0,1,1,1,209,14,14,740000
الرياض,حي ظهرة نمار,غربية,5,1,3,28,2,2,1,0,1,134,11,11,580000
بريدة,حي الفايزية,غربية,4,1,2,15,1,8,0,0,0,240,15,15,580000
الدمام,حي الشعلة,شمالية شرقية,5,1,3,20,2,0,1,1,1,205,14,14,650000
الدمام,حي بدر,جنوبية,3,1,3,40,2,0,1,0,1,165,12,12,580000
الدمام,حي بدر,شرقية,5,2,3,18,2,0,1,0,1,213,14,14,600000
جدة,حي الواحة,شمالية,6,2,3,26,6,0,1,0,0,303,17,17,780000
جدة,حي مريخ,شمالية شرقية,5,1,3,16,2,0,1,1,1,156,12,12,500000
الدمام,حي النور,شرقية,5,1,3,20,1,0,1,0,0,180,13,13,550000
جدة,حي الريان,شمالية,5,1,3,30,2,0,1,1,1,180,13,13,700000
جدة,حي المنار,غربية,4,1,3,26,4,0,1,1,1,122,11,11,475000
الدمام,حي النور,شمالية,5,1,3,23,1,0,1,1,1,190,13,13,550000
جدة,حي مريخ,شمالية,5,1,3,15,3,0,1,1,1,155,12,12,500000
جدة,حي النزهة,جنوبية,4,1,3,16,2,1,1,0,1,140,11,11,570000
جدة,حي الواحة,شرقية,5,1,3,27,5,0,1,1,1,224,14,14,730000
الدمام,حي الشعلة,شمالية,5,1,3,15,2,0,1,0,1,230,15,15,670000
جازان,حي الشاطئ,شمالية,5,1,3,20,1,0,1,0,1,200,14,14,600000
جدة,حي مريخ,غربية,4,1,2,20,2,0,1,1,1,135,11,11,420000
الدمام,حي الضباب,جنوبية,4,1,3,25,2,0,1,0,1,210,14,14,700000
الرياض,حي طويق,شمالية,1,1,3,30,1,0,1,0,1,216,14,14,680000
مكة المكرمة,حي الملك فهد,شرقية,5,2,4,25,5,0,1,1,1,207,14,14,710000
الدمام,حي النور,شمالية,3,1,2,5,1,0,1,1,0,165,12,12,380000
جدة,حي الريان,غربية,5,1,4,15,3,0,1,1,1,168,12,12,650000
الرياض,حي طويق,شرقية,1,1,5,29,1,0,0,0,0,192,13,13,740000
الدمام,حي الشعلة,شرقية,4,5,3,24,1,0,1,0,1,218,14,14,760000
الرياض,حي السلام,جنوبية غربية,4,1,3,25,1,6,1,0,1,144,12,12,750000
الدمام,حي النور,شرقية,4,1,3,19,2,10,1,0,0,155,12,12,370000
بريدة,حي مخطط الرواف,غربية,4,2,4,5,2,0,0,1,0,305,17,17,680000
جدة,حي الواحة,شرقية,5,1,5,5,3,0,1,1,1,198,14,14,630000
الرياض,حي ظهرة لبن,شرقية,2,1,3,15,2,0,1,0,1,112,10,10,440000
جازان,حي الشاطئ,شمالية,6,1,4,5,2,1,1,0,1,220,14,14,600000
جدة,حي السامر,شمالية,5,3,3,28,4,0,1,1,1,160,12,12,465000
جدة,حي الاميرعبدالمجيد,شمالية غربية,5,1,3,20,6,30,1,0,1,240,15,15,630000
جدة,حي المنار,جنوبية,5,1,3,28,3,0,1,1,1,165,12,12,585000
الدمام,حي الفيحاء,جنوبية,6,1,4,28,1,0,1,1,1,220,14,14,610000
الرياض,حي منفوحة الجديدة,غربية,2,2,2,36,1,3,1,0,0,107,10,10,500000
جدة,حي الصفا,شمالية,5,1,4,17,1,1,1,0,0,180,13,13,750000
الرياض,حي اليرموك,شرقية,2,1,3,30,1,0,1,1,1,141,11,11,659000
الدمام,حي النور,ثلاث شوارع,7,1,3,0,2,0,1,1,1,223,14,14,460000
الجبيل,حي مخطط الدخل المحدود,غربية,4,1,4,30,2,0,1,1,0,250,15,15,690000
جدة,حي المروة,شمالية,3,1,3,16,2,10,1,1,0,93,9,9,450000
جدة,حي مريخ,جنوبية,5,1,4,15,2,0,1,1,1,153,12,12,395000
الرياض,حي طويق,غربية,1,2,4,30,1,0,1,0,1,250,15,15,770000
مكة المكرمة,حي الشرائع,شرقية,5,1,3,25,3,0,1,1,1,175,13,13,650000
الدمام,حي الشعلة,شمالية,5,1,3,20,1,0,0,0,0,215,14,14,620000
جدة,حي الريان,شرقية,5,1,4,15,2,0,1,1,1,230,15,15,770000
جدة,حي مريخ,شمالية غربية,4,1,3,21,2,0,1,1,1,212,14,14,730000
جدة,حي الواحة,شمالية,5,1,4,31,4,0,1,1,1,153,12,12,510000
الرياض,حي العقيق,شمالية,3,1,2,33,2,6,1,0,1,120,10,10,720000
جدة,حي المنار,جنوبية شرقية,5,1,3,22,3,0,1,1,1,175,13,13,610000
جدة,حي مريخ,غربية,5,2,4,22,5,0,0,1,1,250,15,15,680000
الرياض,حي لبن,شرقية,5,1,5,30,1,5,0,0,0,100,10,10,500000
جدة,حي الواحة,شمالية,4,1,4,20,2,0,1,1,1,140,11,11,620000
جدة,حي المنار,جنوبية,5,1,4,25,3,0,1,1,1,215,14,14,670000
جدة,حي الواحة,شمالية,4,1,3,20,2,0,1,1,1,127,11,11,570000
الدمام,حي الشعلة,غربية,4,1,3,18,2,0,1,0,1,281,16,16,750000
جدة,حي المنار,شمالية,4,1,3,20,6,0,1,1,1,130,11,11,475000
جدة,حي الواحة,شمالية,4,1,3,20,2,0,1,1,1,138,11,11,640000
جدة,حي الحمدانية,شمالية,4,1,3,20,2,0,1,1,1,130,11,11,375000
جدة,حي الواحة,شرقية,4,1,3,25,3,0,1,1,1,136,11,11,440000
الرياض,حي الخليج,جنوبية,4,1,3,40,1,9,1,0,1,173,13,13,750000
الرياض,حي طويق,غربية,5,1,5,20,1,0,1,0,0,170,13,13,630000
تبوك,حي الهضيبة,شرقية,3,1,4,20,1,0,0,0,0,180,13,13,540000
جدة,حي الواحة,شرقية,4,1,3,32,1,0,1,1,1,121,11,11,439000
جدة,حي الفيحاء,شمالية,5,1,4,20,1,0,1,1,1,167,12,12,740000
جدة,حي المنار,شرقية,4,1,3,24,4,0,1,1,1,122,11,11,469000
جدة,حي الواحة,شمالية,4,1,3,20,2,0,1,1,1,136,11,11,615000
الطائف,حي الشهداء الجنوبية,شرقية,5,1,3,20,1,0,0,0,0,400,20,20,750000
